keap1_mutant,oof_probability
1.000000000000000000e+00,1.701215409113051302e-01
0.000000000000000000e+00,4.134097393833220391e-01
0.000000000000000000e+00,2.049959111241580201e-01
0.000000000000000000e+00,4.572116658613206153e-01
0.000000000000000000e+00,2.754317122088495995e-01
0.000000000000000000e+00,1.971704031563725479e-01
0.000000000000000000e+00,1.848042735092227939e-01
1.000000000000000000e+00,5.250348142478377111e-01
1.000000000000000000e+00,3.838780132412006885e-01
0.000000000000000000e+00,1.884548330057689569e-01
0.000000000000000000e+00,9.737361027076578412e-02
0.000000000000000000e+00,1.782407156778074986e-01
0.000000000000000000e+00,1.903649471521835224e-01
0.000000000000000000e+00,1.820791019858435666e-01
0.000000000000000000e+00,2.208815837612088384e-01
0.000000000000000000e+00,5.611807300353510025e-02
0.000000000000000000e+00,4.236008459829114781e-01
0.000000000000000000e+00,2.154890830457624473e-01
0.000000000000000000e+00,1.693099213335666486e-01
0.000000000000000000e+00,2.123516513789207028e-01
0.000000000000000000e+00,1.912482219670854910e-01
0.000000000000000000e+00,1.117560610784232994e-01
0.000000000000000000e+00,2.723040614837619056e-01
0.000000000000000000e+00,1.638883777263583363e-01
0.000000000000000000e+00,6.453091407368977128e-02
0.000000000000000000e+00,1.700964472712825082e-01
1.000000000000000000e+00,3.416592543027593409e-01
0.000000000000000000e+00,1.705857421005993191e-01
0.000000000000000000e+00,1.781739858090562734e-01
1.000000000000000000e+00,3.548746055192936733e-01
1.000000000000000000e+00,3.383584034607699520e-01
0.000000000000000000e+00,1.995231723997364370e-01
0.000000000000000000e+00,1.837670289492828180e-01
0.000000000000000000e+00,1.893587619726512516e-01
0.000000000000000000e+00,4.128523091246983912e-01
0.000000000000000000e+00,1.832076670288544373e-01
1.000000000000000000e+00,3.883058319341416986e-01
0.000000000000000000e+00,1.662576592288904087e-01
1.000000000000000000e+00,7.271522855292016363e-01
0.000000000000000000e+00,3.111481523412066852e-01
0.000000000000000000e+00,1.857856809276984267e-01
0.000000000000000000e+00,5.773076779523602514e-02
0.000000000000000000e+00,1.830731990905164752e-01
0.000000000000000000e+00,1.743256433599826849e-01
0.000000000000000000e+00,1.952017439758469142e-01
0.000000000000000000e+00,2.100531286757725824e-01
0.000000000000000000e+00,2.534755731515078159e-01
0.000000000000000000e+00,1.683676143725401919e-01
0.000000000000000000e+00,1.754995646883988347e-01
