male,oof_probability
0.000000000000000000e+00,1.336815633041709139e-01
0.000000000000000000e+00,1.590781901924432917e-01
1.000000000000000000e+00,8.517873997090823490e-01
0.000000000000000000e+00,1.146178024030169995e-01
0.000000000000000000e+00,1.125917706953732944e-01
1.000000000000000000e+00,8.530656170823321949e-01
0.000000000000000000e+00,1.652824210412831285e-01
1.000000000000000000e+00,8.518706594679011923e-01
0.000000000000000000e+00,1.111073207248056971e-01
1.000000000000000000e+00,8.533973529612873810e-01
0.000000000000000000e+00,1.237496701931662668e-01
1.000000000000000000e+00,8.540933226777249754e-01
0.000000000000000000e+00,1.061699565792156158e-01
0.000000000000000000e+00,1.021292011058874960e-01
1.000000000000000000e+00,8.565585815176125495e-01
0.000000000000000000e+00,9.871465618083742621e-02
0.000000000000000000e+00,1.124366350672306863e-01
1.000000000000000000e+00,8.587843773441934392e-01
0.000000000000000000e+00,9.734850654487123278e-02
1.000000000000000000e+00,8.542448848686386986e-01
0.000000000000000000e+00,1.115354862044249107e-01
1.000000000000000000e+00,8.392312603036443663e-01
0.000000000000000000e+00,1.073371878138552893e-01
0.000000000000000000e+00,1.914123842902584749e-01
0.000000000000000000e+00,1.217580782195498978e-01
1.000000000000000000e+00,8.579746151045370972e-01
0.000000000000000000e+00,1.347186125500676179e-01
0.000000000000000000e+00,1.364316880724298076e-01
0.000000000000000000e+00,1.367625910474446760e-01
0.000000000000000000e+00,1.052366673012364168e-01
0.000000000000000000e+00,1.057482907713251929e-01
0.000000000000000000e+00,8.077736156954873348e-02
0.000000000000000000e+00,9.825625376565316760e-02
0.000000000000000000e+00,1.120111277798794547e-01
1.000000000000000000e+00,8.537888717381054704e-01
0.000000000000000000e+00,1.651336250355580904e-01
0.000000000000000000e+00,8.861700764973017008e-02
1.000000000000000000e+00,8.582640401063114100e-01
0.000000000000000000e+00,2.086854835587784451e-01
1.000000000000000000e+00,8.576293018473551966e-01
1.000000000000000000e+00,8.480867915280247971e-01
0.000000000000000000e+00,1.339136855983028285e-01
1.000000000000000000e+00,8.587093343057372596e-01
1.000000000000000000e+00,8.567880465713070270e-01
1.000000000000000000e+00,8.568300239583386269e-01
1.000000000000000000e+00,8.542714273568290384e-01
1.000000000000000000e+00,8.592448487323839368e-01
1.000000000000000000e+00,8.582895119008645546e-01
1.000000000000000000e+00,8.585107042631371366e-01
0.000000000000000000e+00,1.233163013664976826e-01
0.000000000000000000e+00,2.045836535684923685e-01
0.000000000000000000e+00,8.947612089235604249e-02
1.000000000000000000e+00,8.588182080211214098e-01
0.000000000000000000e+00,1.138994715196353508e-01
0.000000000000000000e+00,1.140630289961001992e-01
1.000000000000000000e+00,8.588047296420322496e-01
1.000000000000000000e+00,8.254241615028408141e-01
1.000000000000000000e+00,8.358634459152318730e-01
0.000000000000000000e+00,1.409207672993454952e-01
0.000000000000000000e+00,1.111753744919373732e-01
1.000000000000000000e+00,8.599358630865536757e-01
0.000000000000000000e+00,1.253656620158990487e-01
0.000000000000000000e+00,1.084128392081649683e-01
0.000000000000000000e+00,1.038695949028367593e-01
0.000000000000000000e+00,2.408207667100859539e-01
1.000000000000000000e+00,8.565634280268085154e-01
0.000000000000000000e+00,2.543861384493066313e-01
1.000000000000000000e+00,8.036259749390184393e-01
0.000000000000000000e+00,1.562441446906187303e-01
0.000000000000000000e+00,1.427324197816318141e-01
0.000000000000000000e+00,1.206879446569824599e-01
1.000000000000000000e+00,7.778865488014138352e-01
1.000000000000000000e+00,8.586497434171732612e-01
0.000000000000000000e+00,1.245237974539856740e-01
0.000000000000000000e+00,1.474127857727092483e-01
