keap1_mutant,oof_probability
0.000000000000000000e+00,1.765107632864904574e-01
0.000000000000000000e+00,2.561338194973876714e-01
0.000000000000000000e+00,1.757906548894594412e-01
0.000000000000000000e+00,5.859784645390343077e-02
0.000000000000000000e+00,1.733666302699901351e-01
0.000000000000000000e+00,1.769237305857428444e-01
0.000000000000000000e+00,4.115468466436882355e-01
0.000000000000000000e+00,1.804104931976810433e-01
0.000000000000000000e+00,8.991878818525669836e-02
0.000000000000000000e+00,1.767375257926068477e-01
0.000000000000000000e+00,8.933935413104912571e-02
0.000000000000000000e+00,1.866303067422048767e-01
1.000000000000000000e+00,5.387278210999580930e-01
0.000000000000000000e+00,1.720607038588379267e-01
0.000000000000000000e+00,1.778522196436889136e-01
0.000000000000000000e+00,1.971847449819905673e-01
1.000000000000000000e+00,1.706618443371980820e-01
0.000000000000000000e+00,1.893118308848708020e-01
0.000000000000000000e+00,1.795546025696825587e-01
0.000000000000000000e+00,1.770952585070319218e-01
0.000000000000000000e+00,1.888391348697580907e-01
0.000000000000000000e+00,2.085336607655516594e-01
0.000000000000000000e+00,1.950859768606971190e-01
0.000000000000000000e+00,6.372188987336124821e-02
0.000000000000000000e+00,1.794953590843740010e-01
0.000000000000000000e+00,1.968558755649971459e-01
0.000000000000000000e+00,1.941435598008316443e-01
0.000000000000000000e+00,1.705241439000938497e-01
0.000000000000000000e+00,1.824670321961214814e-01
0.000000000000000000e+00,1.858587870595261871e-01
0.000000000000000000e+00,3.128462373118846007e-01
0.000000000000000000e+00,1.678961007369718095e-01
0.000000000000000000e+00,1.768152309220995533e-01
0.000000000000000000e+00,1.969398494624278184e-01
0.000000000000000000e+00,1.730010411662527281e-01
1.000000000000000000e+00,4.442287817450961129e-01
0.000000000000000000e+00,1.800570722616759156e-01
1.000000000000000000e+00,4.633325943992371854e-01
0.000000000000000000e+00,1.796238539880060381e-01
0.000000000000000000e+00,1.735143618418647504e-01
0.000000000000000000e+00,1.730830540974436504e-01
0.000000000000000000e+00,1.736180096293516162e-01
0.000000000000000000e+00,1.752829892271896284e-01
0.000000000000000000e+00,1.892482372428141713e-01
1.000000000000000000e+00,4.794205405311850465e-01
0.000000000000000000e+00,1.831547960404948383e-01
0.000000000000000000e+00,2.283802028237606196e-01
0.000000000000000000e+00,1.799857179804226770e-01
0.000000000000000000e+00,1.758149349877810297e-01
0.000000000000000000e+00,2.093842689681755520e-01
0.000000000000000000e+00,8.708169127288029054e-02
0.000000000000000000e+00,1.778484001999640074e-01
1.000000000000000000e+00,6.343789883531115725e-01
0.000000000000000000e+00,8.386583404932999863e-02
0.000000000000000000e+00,1.775927079733445046e-01
1.000000000000000000e+00,4.760137156331372132e-01
0.000000000000000000e+00,2.263775514323996818e-01
0.000000000000000000e+00,1.727133030284515869e-01
0.000000000000000000e+00,1.750619671677295930e-01
0.000000000000000000e+00,1.678392374946829912e-01
0.000000000000000000e+00,6.373810366372872904e-02
0.000000000000000000e+00,1.747302372347637467e-01
0.000000000000000000e+00,1.674603380353059390e-01
0.000000000000000000e+00,6.574881717971360617e-02
0.000000000000000000e+00,4.886659371038767907e-01
0.000000000000000000e+00,1.829269471337146291e-01
0.000000000000000000e+00,1.754366109494602810e-01
0.000000000000000000e+00,1.727756450734910798e-01
0.000000000000000000e+00,1.741253554214673149e-01
0.000000000000000000e+00,1.748166513804463307e-01
0.000000000000000000e+00,1.741819931246775810e-01
0.000000000000000000e+00,1.854794103648443049e-01
0.000000000000000000e+00,1.793137076989340106e-01
